strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Madagascar/IPM-02260/2021	EPI_ISL_1660290		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Madagascar/IPM-02259/2021	EPI_ISL_1660289		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Madagascar/IPM-01919/2021	EPI_ISL_1660274		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Madagascar/IPM-02175/2021	EPI_ISL_1660284		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Madagascar/IPM-02257/2021	EPI_ISL_1660288		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Spain/PV-HUD-68848315/2021	EPI_ISL_2033160		Microbiology Department, University Hospital Donostia	Microbiology Department, University Hospital Donostia	Marimon JM et al
Monaco/IPP04454/2021	EPI_ISL_1219949		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B
Tunisia/202129459/2021	EPI_ISL_2154331	MZ227558.1	Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sameh Trabelsi et al
Indonesia/JK-NIHRD-WGS02525/2021	EPI_ISL_2382409		Wisma Atlet	National Institute of Health Research and Development	Vivi Setiawaty et al
Singapore/452/2021	EPI_ISL_1543943		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
Bangladesh/BCSIR-02/2021	EPI_ISL_1673680		Genomic Research Lab, BCSIR	Genomic Research Lab, BCSIR	Tanjina Akhter Banu et al
Bangladesh/CHRF-0287_CU/2021	EPI_ISL_2445984		Chittagong General Hospital	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
Bangladesh/CHRF-0283_CU/2021	EPI_ISL_2445981		Chittagong General Hospital	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
Bangladesh/CHRF-0297_CU/2021	EPI_ISL_2445994		Chittagong General Hospital	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
Bangladesh/CHRF-0189/2021	EPI_ISL_1469971		Child Health Research Foundation	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
Bangladesh/ideSHi-TR-2434/2021	EPI_ISL_1915120	MZ413861.1	Institute for Developing Science and Health Initiatives (ideSHi)	Institute for Developing Science and Health Initiatives (ideSHi)	Hassan Afrad et al
Bangladesh/ideSHi-IR-212/2021	EPI_ISL_1657085	MZ413848.1	Institute for Developing Science and Health Initiatives (ideSHi)	Institute for Developing Science and Health Initiatives (ideSHi)	Hassan Afrad et al
Bangladesh/BCSIR-JU-24/2021	EPI_ISL_1742838	MZ562490.1	GRMDCR & JU	Genomic Research Lab, BCSIR	Md. Murshed Hasan Sarkar et al
Bangladesh/BCSIR-NILMRC-747/2021	EPI_ISL_1531559		National Institute of Laboratory Medicine and Referral Center	Genomic Research Lab, BCSIR	Shahina Akter et al
Bahrain/600118769/2021	EPI_ISL_1660422	MW965616.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
Australia/QLD1838/2021	EPI_ISL_1563675		PHV-FSS	PHV-FSS	Son Nguyen et al
Bangladesh/CHRF-0225/2021	EPI_ISL_1752690		Child Health Research Foundation	Child Health Research Foundation	CHRF Bangladesh Genomics Team et al
Benin/314/2020	EPI_ISL_476834	MT653082.1	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)
Romania/279068/2020	EPI_ISL_447054		Cantacuzino National Military-Medical Institute for Research and Development	Cantacuzino Institute	M.Lazar et al (https://dx.doi.org/10.1101/2020.06.28.175802)
USA/NM-DOH-2020014571/2020	EPI_ISL_831902		New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
Mexico/BCN-ALSR-8389/2020	EPI_ISL_1531853		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
Ghana/84279_S42/2020	EPI_ISL_515108	MT890236.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
Ghana/WACCBIP-GS485/2020	EPI_ISL_2422532		West African Centre for Cell Biology of Infectious Pathogen, University of Ghana, Legon	WACCBIP, University of Ghana, Volta Road, Legon, Accra	Collins M. Morang'a et al
BurkinaFaso/6048/2020	EPI_ISL_2142727		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Yacouba Sawadogo et al
Egypt/CPHL-NRC-22/2020	EPI_ISL_794603	MW451601.1	Central Laboratories, Egyptian Ministry of Health and Population	Central Laboratories, Egyptian Ministry of Health and Population	Kayed et al
Colombia/AMA-GUR-06732/2020	EPI_ISL_941111		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Australia/NSW2533/2020	EPI_ISL_527037		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
Panama/334456/2020	EPI_ISL_496780		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)
Peru/ARE-INS-633/2020	EPI_ISL_1111093		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Ronnie Gavilan Chavez et al
Colombia/AMA-GUR-06728/2020	EPI_ISL_941108		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06813/2020	EPI_ISL_941154		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/ATL-INS-01/2020	EPI_ISL_653761		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/GUR-03862/2020	EPI_ISL_941974		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/AMA-GUR-06786/2020	EPI_ISL_941141		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06721/2020	EPI_ISL_941105		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-INS-106856/2020	EPI_ISL_526932		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/ANT-GVI-92161/2020	EPI_ISL_447763		Instituto Nacional de Salud, Bogotá, Colombia	Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Juan David Ramírez et al A (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1)
Mexico/QUE-IBT-IMSS-507/2020	EPI_ISL_1301673		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Venezuela/VEN-95072/2020	EPI_ISL_476704		Incubadora Venezolana de Ciencia, Venezuela	Incubadora Venezolana de Ciencia, Venezuela / Instituto Nacional de Salud, Bogotá, Colombia / Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia / Icahn School of Medicine at Mount Sinai, New York, USA	Alberto Paniz-Mondolfi et al
Colombia/DC-INS-VG-49/2020	EPI_ISL_794650		Fundación Cardio Infantil	Instituto Nacional de Salud - Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/DC-INS-197/2020	EPI_ISL_526971		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/BOY-INS-VG-508/2021	EPI_ISL_1220046		Carvajal Laboratorio IPS SAS	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ANT-CWOHC-VG-RSEC00003C/2020	EPI_ISL_1091786		LDSP	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Colombia/ANT-INS-VG-180/2021	EPI_ISL_794666		SYNLAB REGIONAL NOROCCIDENTE	Instituto Nacional de Salud - Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ANT-C72/2020	EPI_ISL_2339902		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/ANT-C73/2020	EPI_ISL_2339903		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/BOG-INS-VG-42/2020	EPI_ISL_845623		Dirección de Sanidad Ejército	Instituto Nacional de Salud - Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ANT-INS-103238/2020	EPI_ISL_739677		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/DC-UW-651303172901/2020	EPI_ISL_1324148		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Venezuela/20MZ/2020	EPI_ISL_1576833		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
Colombia/GVI-161641/2020	EPI_ISL_941994		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/GVI-139542/2020	EPI_ISL_941942		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/GVI-152352/2020	EPI_ISL_941949		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Curacao/CW-RIVM-11654/2021	EPI_ISL_1014581		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Venezuela/12MZ/2020	EPI_ISL_1576834		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
Colombia/SUC-INS-VG-1153/2020	EPI_ISL_1220065		Investigaciones Biomédicas - Universidad de Sucre	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ATL-INS-VG-217/2021	EPI_ISL_1092007		Laboratorio Continental	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/SUC-INS-VG-1155/2021	EPI_ISL_1494940		Investigaciones Biomédicas - Universidad de Sucre	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Panama/GMI-PA572717/2020	EPI_ISL_1225577		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
Colombia/ATL-UW-651262551501/2020	EPI_ISL_1324135		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Colombia/ANT-CWOHC-VG-SEC00040N/2020	EPI_ISL_1629735		SURA	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Laura Silvana Perez et al
Colombia/TOL-INS-VG-1906/2021	EPI_ISL_1805632		LDSP TOLIMA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/TOL-INS-VG-847/2021	EPI_ISL_1220052		ANALICEMOS LABORATORIO ESPECIALIZADO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/BOG-INS-VG-264/2021	EPI_ISL_845640		Laboratorio de Salud Pública - Secretaría Distrital de Salud	Instituto Nacional de Salud - Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/HUI-INS-VG-1378/2021	EPI_ISL_1494944		HOSPITAL DEPARTAMENTAL SAN VICENTE DE PAUL	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
SaudiArabia/KAUST-MAKKAH185/2020	EPI_ISL_678231		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Amit Kumar Subudhi et al
DRC/81/2020	EPI_ISL_417944		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)
Palestine/23/2020	EPI_ISL_596510		Palestinian Ministry of Health	Molecular Genetics Lab	Nouar Qutob et al
Norway/3101/2020	EPI_ISL_549125		Unilabs Laboratory Medicine	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Afghanistan/IMB07960/2020	EPI_ISL_1000999		Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	Markus Antwerpen et al
Turkey/CTF_14062020_054/2020	EPI_ISL_2015105		IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	Mert Kuskucu et al
Turkey/CTF_23052020_098/2020	EPI_ISL_2015111		IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	Mert Kuskucu et al
Turkey/CTF_07062020_110/2020	EPI_ISL_2015101		IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	IU-Cerrahpasa, Cerrahpasa School of Medicine, COVID-19 Lab	Mert Kuskucu et al
Iran/Gilan-NIC184/2020	EPI_ISL_959278		National Influenza Center, Virology Department	National Influenza Center	A Nejati et al
Iran/Gilan-NIC189/2020	EPI_ISL_959282		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al
Greece/248_32261/2020	EPI_ISL_437900	MT459908.1	Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens	Laboratory of Biology, Department of Medicine, Democritus University of Thrace	Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)
Togo/BMC-1284-20/2020	EPI_ISL_1415428		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Vietnam/VNHN_1167/2020	EPI_ISL_455696		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Peru/JUN-INS-712/2020	EPI_ISL_1111172		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú	Ronnie Gavilan Chavez et al
Argentina/PAIS-E0139/2020	EPI_ISL_1395952		Laboratorio Central de Salud Pública	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Natalia Andrea Ayala y María Verónica Gómez et al
Canada/SK-NML-498/2020	EPI_ISL_2562958		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
Tunisia/MHT_1/2020	EPI_ISL_458285	MT559037.1		Bundeswehr Institute of Microbiology	Handrick et al
Australia/WA278/2020	EPI_ISL_596821		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
NewZealand/20CV0536/2020	EPI_ISL_637088		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Nigeria/S28/2020	EPI_ISL_2399461		Centre for Human Virology and Genomics, Microbiology Department, Nigerian Institute of Medical Research	Central Research Laboratory, Nigerian Institute of Medical Research	Chika Kingsley Onwuamah et al
Nigeria/S18/2020	EPI_ISL_2399459		Centre for Human Virology and Genomics, Microbiology Department, Nigerian Institute of Medical Research	Central Research Laboratory, Nigerian Institute of Medical Research	Chika Kingsley Onwuamah et al
Nigeria/S38/2020	EPI_ISL_2399462		Centre for Human Virology and Genomics, Microbiology Department, Nigerian Institute of Medical Research	Central Research Laboratory, Nigerian Institute of Medical Research	Chika Kingsley Onwuamah et al
Iraq/Samawa-37/2021	EPI_ISL_1524366	MZ145290.1	Biology Department, College of Science, Al Muthanna University and Public Health Laboratory, Al-Muthanna Health Directorate	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Nihad Al-Rashedi et al
Turkey/Ankara-14011_1086/2021	EPI_ISL_2629174		Turkish Society of Internal Medicine	Gen Era Diagnostics Corporation Life Science Research and Molecular Diagnostics	Serhat Ünal et al
Australia/SA0498/2020	EPI_ISL_602579		SA Pathology	SA Pathology	Lex Leong et al
Canada/SK-NML-17792/2021	EPI_ISL_2883532		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
Canada/BC-BCCDC-8835/2020	EPI_ISL_976068		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
Canada/AB-ABPHL-06003/2021	EPI_ISL_2165285		Alberta Precision Labs (APL)	Public Health Agency of Canada (PHAC) National Microbiology Laboratory	Buss et al
Canada/SK-NML-17839/2021	EPI_ISL_2883577		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
Canada/NL-NML-20652/2021	EPI_ISL_1587897		NL-Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer et al
Canada/SK-NML-72066/2021	EPI_ISL_2586889		SK-Roy Romanow Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
Canada/BC-BCCDC-44811/2021	EPI_ISL_2527066		BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Prystajecky Natalie et al
Australia/VIC1119/2020	EPI_ISL_430567	MT451755.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
NewZealand/20CV0670/2020	EPI_ISL_732970		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Egypt/NRC-5463/2020	EPI_ISL_2232405		Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre	Rabeh El-Shesheny et al
Peru/JUN-INS-282/2020	EPI_ISL_1093177		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú	Carlos Padilla Rojas et al
USA/TX-HMH0289/2020	EPI_ISL_434915		Houston Methodist Hospital	Houston Methodist Hospital	S. Wesley Long et al A (https://dx.doi.org/10.1101/2020.05.01.072652)
Serbia/KV52-12-05/2020	EPI_ISL_514426	MT883501.1	Laboratory Diagnostic, Veterinary Specialized Institute Kraljevo	Laboratory Diagnostic, Veterinary Specialized Institute Kraljevo	Vidanovic et al
Serbia/Kraljevo-00521205/2020	EPI_ISL_644572		Veterinary Specialized Institute "Kraljevo", Serbia	Veterinary Specialized Institute "Kraljevo", Serbia	Vidanovic et al
Colombia/GUR-06494/2020	EPI_ISL_942000		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/BOL-INS-84730/2020	EPI_ISL_497738		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Serbia/Sabac-000282104/2020	EPI_ISL_678487		Veterinary Specialized Institute "Sabac", Serbia	Veterinary Specialized Institute "Kraljevo", Serbia	Vidanovic et al
USA/VT-CDC-2-4044519/2020	EPI_ISL_903636	MW550528.1	VT Dept. of Health Laboratory	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
Mexico/YUC-NYGC-8330-20/2020	EPI_ISL_3024049		Universidad Autonoma de Yucatan	New York Genome Center	Michael Zody et al
Argentina/PAIS-C0027/2020	EPI_ISL_792428		Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König et al
Argentina/PAIS-E0033/2020	EPI_ISL_792521		Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
Argentina/PAIS-E0107/2020	EPI_ISL_1395817		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
Argentina/INEI102884/2021	EPI_ISL_2135293		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
Colombia/DC-C107/2020	EPI_ISL_2339877		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Belarus/MI-RII-MH11337S/2020	EPI_ISL_754229		The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)	WHO National Influenza Centre Russian Federation	Elena Gasich et al
Belarus/ChVir21837/2020	EPI_ISL_860803		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
Latvia/114/2020	EPI_ISL_534203		E. Gulbja Laboratorija	Latvian Biomedical Research and Study Centre	Ivars Silamiķelis et al
Argentina/PAIS-C0040/2020	EPI_ISL_792441		Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König et al
Argentina/PAIS-E0131/2020	EPI_ISL_1395946		Laboratorio Central de Salud Pública	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Natalia Andrea Ayala y María Verónica Gómez et al
Colombia/GUR-03583/2020	EPI_ISL_941972		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/DC-C102/2020	EPI_ISL_2339876		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/MET-406/2020	EPI_ISL_2151072		Clínica Meta	Instituto de Virología-Universidad El Bosque	Eliana P. Calvo et al
USA/CT-Yale-626/2020	EPI_ISL_730081		Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
