strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
USA/MA-Yale-1277/2020	EPI_ISL_1067679		Connecticut Veterans' Affairs Hospital	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
Australia/WA64/2020	EPI_ISL_512717		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Colombia/GVI-153306/2020	EPI_ISL_941943		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
DRC/81/2020	EPI_ISL_417944		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)
Iran/Gilan-NIC189/2020	EPI_ISL_959282		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al
Turkey/IST-GLAB-059/2020	EPI_ISL_480237		Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	Genomic Laboratory (GLAB), Istanbul Technical University	Ilker Karacan et al
Turkey/IST-GLAB-335/2020	EPI_ISL_735352		Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	Genomic Laboratory (GLAB), Istanbul Technical University	Ilker Karacan et al
Norway/3199/2020	EPI_ISL_549031		Oslo University Hospital, Department of Medical Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Turkey/DEN-PAU02/2020	EPI_ISL_707939		Pamukkale University Hospital	Pamukkale University Department of Medical Genetics	Onur TOKGUN et al.
Afghanistan/IMB07960/2020	EPI_ISL_1000999		Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	Markus Antwerpen et al
Afghanistan/IMB07970/2020	EPI_ISL_1001004		Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	Markus Antwerpen et al
Ecuador/USFQ-163/2020	EPI_ISL_525430		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al
Turkey/IST-GLAB-153/2020	EPI_ISL_480252		Genomic Laboratory (GLAB) (Conjoint lab of Health Directorate of Istanbul and Istanbul Technical University)	Genomic Laboratory (GLAB), Istanbul Technical University	Ilker Karacan et al
Egypt/NRC1/2020	EPI_ISL_1315064	MW737677.1	Armed Forces Medical Research Laboratories and Blood Bank, Egypt	Department of Microbial Biotechnology, Genetic Engineering Division, National Research Centre,	Reham Dawood et al
Peru/JUN-INS-131/2020	EPI_ISL_536528		Instituto Nacional de Salud	Laboratorio de Infecciones Respiratorias Agudas	Eduardo Juscamayta Lopez et al
Peru/JUN-INS-282/2020	EPI_ISL_1093177		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú	Carlos Padilla Rojas et al
Peru/JUN-INS-764/2020	EPI_ISL_1532163		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú	Carlos Padilla Rojas et al
Taiwan/TSGH-14/2020	EPI_ISL_428231		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
UnitedArabEmirates/0664/2020	EPI_ISL_698818		Group 42 (G42) Healthcare, Abu Dhabi, United Arab Emirates; Department of Health, The United Arab Emirates	G42 Healthcare	Rong Liu et al
Argentina/PAIS-E0114/2020	EPI_ISL_1395826		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
USA/AZ-TG273286/2020	EPI_ISL_426560		AZ SPHL, Arizona Department of Health Services	TGen North	Jolene Bowers et al B (https://dx.doi.org/10.1101/2020.05.08.20095935)
SaudiArabia/KAUST-Makkah139/2020	EPI_ISL_437694		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sharif Hala et al
Egypt/CPHL-NRC-21/2020	EPI_ISL_794604	MW451602.1	Central Laboratories, Egyptian Ministry of Health and Population	Central Laboratories, Egyptian Ministry of Health and Population	Kayed et al
Egypt/CPHL-NRC-23/2020	EPI_ISL_794602	MW451600.1	Central Laboratories, Egyptian Ministry of Health and Population	Central Laboratories, Egyptian Ministry of Health and Population	Kayed et al
Togo/BMC-1284-20/2020	EPI_ISL_1415428		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Colombia/CAU-INS-80705/2020	EPI_ISL_456124		Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al B (https://dx.doi.org/10.1101/2020.06.02.20120782)
Vietnam/VNHN_1167/2020	EPI_ISL_455696		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Australia/VIC1119/2020	EPI_ISL_430567	MT451755.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
USA/WI-UW-947/2020	EPI_ISL_509946	MT846633.1	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al
Mexico/YUC-NYGC-13894-20/2020	EPI_ISL_3024052		Universidad Autonoma de Yucatan	New York Genome Center	Michael Zody et al
Nigeria/KW017-CV24/2020	EPI_ISL_455362		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
USA/NJ-NYGC-NJ-BioR-308/2020	EPI_ISL_2193709		Hackensack Medical Center	New York Genome Center	Michael Zody et al
NewZealand/20CV0131/2020	EPI_ISL_579059		LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Kuwait/SKS00101-JAH/2020	EPI_ISL_903381		MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	Salman Al-Sabah et al
Kuwait/SKS00114-JAH/2020	EPI_ISL_903379		MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	Salman Al-Sabah et al
Kuwait/SKS00111-JAH/2020	EPI_ISL_903382		MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	Salman Al-Sabah et al
Kuwait/SKS00115-JAH/2020	EPI_ISL_903384		MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	MOH - Jaber Al-Ahmad Hospital (Innovation Research Laboratory)	Salman Al-Sabah et al
USA/ME-HETL-J0081/2020	EPI_ISL_513492	MT886366.1	Maine HETL	Tewhey Lab, The Jackson Laboratory	Matluk et al
Chile/Santiago-PUC_MVL_0023/2020	EPI_ISL_801614	MW365182.1	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Leonardo I. Almonacid et al
Morocco/RMPS-02/2020	EPI_ISL_469049	MT731292.1	LNR National Reference Laboratory, Mohammed VI University of Health Sciences	Medical Biotechnology Laboratory, Rabat Medical and Pharmacy School, Mohammed The Vth University in Rabat	Meriem LAAMARTI et al (https://www.biorxiv.org/content/10.1101/2020.06.30.181123v1)
Colombia/BOY-GUR-0206/2020	EPI_ISL_447738		Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Juan David Ramírez et al A (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1)
Colombia/AMA-GUR-06813/2020	EPI_ISL_941154		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06737/2020	EPI_ISL_941114		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06831/2020	EPI_ISL_941162		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06741/2020	EPI_ISL_941117		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/AMA-GUR-06721/2020	EPI_ISL_941105		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Mexico/QUE-IBT-IMSS-507/2020	EPI_ISL_1301673		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Mexico/QUE-IBT-IMSS-510/2020	EPI_ISL_1301675		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al
Venezuela/20MZ/2020	EPI_ISL_1576833		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
Colombia/GVI-139542/2020	EPI_ISL_941942		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/GVI-152352/2020	EPI_ISL_941949		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/GVI-161642/2020	EPI_ISL_941951		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Venezuela/12MZ/2020	EPI_ISL_1576834		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
Chile/RM-32681/2021	EPI_ISL_1321539		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
Curacao/CW-RIVM-11654/2021	EPI_ISL_1014581		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Chile/RM-252005/2020	EPI_ISL_1167726		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
Colombia/DC-C88/2020	EPI_ISL_2339904		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/ANT-CWOHC-VG-RSEC00001A/2020	EPI_ISL_1091784		LDSP	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Colombia/ANT-CWOHC-VG-SEC00035I/2021	EPI_ISL_1629730		UDEA	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Daniel O. Maldonado-Perez et al
Colombia/VAC-INS-VG-486/2020	EPI_ISL_1220060		FUNDACION VALLE DEL LILI	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/DC-290716/2021	EPI_ISL_1738785		Laboratorio de Salud Pública Bogota	Gencore - Universidad de los Andes	Marcela Guevara et al
Peru/LIM-INS-733/2021	EPI_ISL_1138415		Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud Perú	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú	Carlos Padilla Rojas et al
Colombia/TOL-INS-VG-1906/2021	EPI_ISL_1805632		LDSP TOLIMA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Venezuela/VEN-95072/2020	EPI_ISL_476704		Incubadora Venezolana de Ciencia, Venezuela	Incubadora Venezolana de Ciencia, Venezuela / Instituto Nacional de Salud, Bogotá, Colombia / Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia / Icahn School of Medicine at Mount Sinai, New York, USA	Alberto Paniz-Mondolfi et al
Aruba/AW-RIVM-13771/2021	EPI_ISL_1090215		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-14880/2021	EPI_ISL_1165614		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Colombia/ATL-INS-04/2020	EPI_ISL_653759		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/AMA-GUR-06761/2020	EPI_ISL_941132		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Nathalia Ballesteros et al
Colombia/ANT-CWOHC-VG-RSEC00003C/2020	EPI_ISL_1091786		LDSP	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Colombia/ANT-INS-01/2020	EPI_ISL_653756		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/ANT-INS-CORME-16-00/2020	EPI_ISL_1424063		Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ANT-C72/2020	EPI_ISL_2339902		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/ANT-INS-5/2020	EPI_ISL_653758		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/ANT-INS-CORME-12-00/2020	EPI_ISL_1424061		Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/DC-C3/2020	EPI_ISL_2339890		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/ANT-INS-CORME-04-00/2020	EPI_ISL_1424059		Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Colombia/ANT-C73/2020	EPI_ISL_2339903		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Colombia/ANT-CWOHC-VG-SEC00021U/2021	EPI_ISL_1629719		ICMT	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López et al
Colombia/ANT-INS-103573/2020	EPI_ISL_739676		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/DC-UW-651303172901/2020	EPI_ISL_1324148		UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Colombia/ANT-INS-103236/2020	EPI_ISL_739675		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/ANT-INS-103237/2020	EPI_ISL_739674		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Colombia/ANT-INS-103238/2020	EPI_ISL_739677		Instituto Nacional de Salud, Bogotá, Colombia	Instituto Nacional de Salud, Bogotá, Colombia	Katherine Laiton-Donato et al A
Australia/VIC1743/2020	EPI_ISL_456638	MT612317.1	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al B
USA/KY-KSPHL-100180/2020	EPI_ISL_1171870		Kentucky State Public Health Lab	Kentucky State Public Health Lab	Stephanie Lunn et al
Colombia/MAG-INS-101935/2020	EPI_ISL_456153		Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al B (https://dx.doi.org/10.1101/2020.06.02.20120782)
Indonesia/JB-TFRIC19-R49542/2020	EPI_ISL_528750		Santo Borromeus Hospital	School of Life Sciences and Technology & School of Pharmacy-Institut Teknologi Bandung; Molecular Genetics Laboratory-Faculty of Medicine-Universitas Padjadjaran; Laboratorium Kesehatan Provinsi Jawa Barat	Marselina Irasonia Tan et al
India/DL-NCDC-709264/2020	EPI_ISL_2458854		National Centre for Disease Control (NCDC) Biotechnology Division, Delhi	NCDC Delhi, Biotechnology Division INSACOG	Uma Sharma et al
Argentina/PAIS-E0107/2020	EPI_ISL_1395817		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
Argentina/PAIS-C0031/2020	EPI_ISL_792432		Laboratorio de Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Instituto de Biotecnología, IABIMO (CONICET), Instituto de Virología, IVIT(CONICET), Instituto de Patobiología, IPVET(CONICET), CICVyA, INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	König et al
Argentina/PAIS-E0143/2020	EPI_ISL_1395812		Inmunología del Hospital Perrando e Instituto de Medicina Regional de la UNNE	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	María Delia Foussal et al
USA/NH-Yale-1374/2020	EPI_ISL_1091889		Connecticut Veterans' Affairs Hospital	Grubaugh Lab - Yale School of Public Health	Mary Petrone et al
USA/VT-CDC-2-4044523/2020	EPI_ISL_903635	MW550508.1	VT Dept. of Health Laboratory	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al B
USA/VT-CDC-2-4044519/2020	EPI_ISL_903636	MW550528.1	VT Dept. of Health Laboratory	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al B
USA/OH-USAFSAM-S151/2020	EPI_ISL_812342		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	Anthony Fries et al
Colombia/GUR-02424/2020	EPI_ISL_942005		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/DC-C102/2020	EPI_ISL_2339876		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Argentina/PAIS-E0156/2020	EPI_ISL_1395809		Hospital Pediatrico Dr Avelino Castelan, Hospital 4 de Junio Dr Ramon Carrillo	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Marino Goia et al
Bulgaria/21BG-NC_A000077/2020	EPI_ISL_2081940		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
Colombia/DC-C107/2020	EPI_ISL_2339877		Centro de Estudio de Enfermedades Autoinmunes (CREA), Universidad del Rosario, Bogota, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Juan-Manuel Anaya et al
Egypt/CUNCI-HGC9I007/2020	EPI_ISL_857325	MW497103.1	Cancer Biology Department, National Cancer Institute	Cancer Biology Department, National Cancer Institute	Zekri et al
Egypt/ARMY-241/2021	EPI_ISL_1936106		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
NewZealand/20CV0669/2020	EPI_ISL_732969		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20CV0670/2020	EPI_ISL_732970		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/NSW598/2020	EPI_ISL_478710		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
UnitedArabEmirates/1445/2020	EPI_ISL_859577		BTC, Khalifa University	BTC, Khalifa University	Al Safar et al
NewZealand/20CV0536/2020	EPI_ISL_637088		PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Nigeria/S18/2020	EPI_ISL_2399459		Centre for Human Virology and Genomics, Microbiology Department, Nigerian Institute of Medical Research	Central Research Laboratory, Nigerian Institute of Medical Research	Chika Kingsley Onwuamah et al
Belarus/ChVir21877/2020	EPI_ISL_860812		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
USA/AZ-TG410172/2020	EPI_ISL_694962		TGen North	TGen North	Jolene Bowers et al A
Colombia/COR-U43/2021	EPI_ISL_2603129		Universidad de Cordoba, Montería, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Salim Mattar et al
Colombia/COR-U44/2021	EPI_ISL_2603130		Universidad de Cordoba, Montería, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia	Salim Mattar et al
Venezuela/Zul6567/2021	EPI_ISL_2628310		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
Colombia/COR-INS-VG-2780/2021	EPI_ISL_2674292		LABORATORIO CLINICO MASVIDA DE LA COSTA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al A
Australia/WA217/2020	EPI_ISL_596780		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
Belarus/ChVir21890/2020	EPI_ISL_861458		WHO/Minsk	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al A
USA/GA-QDX-4495/2020	EPI_ISL_937051	MW566497.1	Quest Diagnostics	Quest Diagnostics	Rosenthal et al
USA/SC-MCRDPI_20_2078-T42/2020	EPI_ISL_2894830		Naval Medical Research Center Biological Defense Research Directorate	van Bakel Laboratory, Genetics and Genomics Sciences, Icahn School of Medicine at Mount Sinai	Rhonda A. Lizewski et al
Colombia/GVI-160129/2020	EPI_ISL_941992		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
Colombia/GVI-160127/2020	EPI_ISL_941991		Instituto Nacional de Salud, Bogotá, Colombia	Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA	Luz Helena Patiño et al
