strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Iran/GRC-10074/2020	EPI_ISL_2692953		Pars Hospital Laboratory, Rasht, Iran.	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
Japan/DP0785/2020	EPI_ISL_416627	LC571034.1	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al D (https://dx.doi.org/10.1101/2020.03.23.20041970)
Australia/NT04/2020	EPI_ISL_419833		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Australia/NT01/2020	EPI_ISL_419831		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Australia/SA0097/2020	EPI_ISL_468039		SA Pathology	SA Pathology	Lex Leong et al
Indonesia/JK-EIJK-2444/2020	EPI_ISL_435283		RS Pondok Indah Hospital – Pondok Indah	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Australia/NT05/2020	EPI_ISL_419835		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Italy/LAZ-INMI1-cs/2020	EPI_ISL_410546		INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Maria R. Capobianchi et al (https://dx.doi.org/10.1002/jmv.25699)
SouthAfrica/KRISP-02/2020	EPI_ISL_421572		Molecular Diagnostic Services and FLowpath	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J et al A (https://dx.doi.org/10.1101/2020.05.29.20116376)
Spain/VC-IBV-98000075/2020	EPI_ISL_539288		Servicio de Microbiologia. Hospital Clinico Universitario de Valencia	SeqCOVID-SPAIN consortium/IBV(CSIC)	Maria Dolores Ocete et al
Italy/LAZ-INMI2-N/2020	EPI_ISL_451302	MT509662.1	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Cesare E.M. Gruber et al (https://dx.doi.org/10.1002/jmv.25699)
Georgia/Tb-468/2020	EPI_ISL_415643		R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-54/2020	EPI_ISL_415641		R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/MM202054/2020	EPI_ISL_2896259	MT231246.1	Department of Virology, Molecular Biology and Genome Research	Department of Virology, Molecular Biology and Genome Research	Kotorashvili et al
Slovenia/6934/2020	EPI_ISL_2643997		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
Italy/VEN-SI_21/2020	EPI_ISL_1181794		Microbiology and Virology Unit,Azienda Ospedale Padova,Padova,Italy	Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy	Elisa Franchin et al
Spain/EX-ISCIII-201259/2020	EPI_ISL_871975		Hospital Infanta Cristina	Instituto de Salud Carlos III	Iglesias-Caballero et al
SouthKorea/KCDC2100/2020	EPI_ISL_498001		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC2015/2020	EPI_ISL_427809		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
SouthKorea/KCDC2126/2020	EPI_ISL_498027		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
NewZealand/CoV002/2020	EPI_ISL_417212		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
Chile/Santiago-PUC_MVL_0012/2020	EPI_ISL_801549	MW365229.1	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Leonardo I. Almonacid et al
Moldova/ChVir7770/2020	EPI_ISL_523962		National Agency for Public Health, Republic of Moldova	Charite Universitatsmedizin Berlin, Institute of Virology	Victor M Corman et al
NewZealand/20VR0994/2020	EPI_ISL_456177	MZ331898.1	LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR1979/2020	EPI_ISL_579186	MZ332109.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Uganda/UG052/2020	EPI_ISL_737969		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
Australia/ACT0069/2020	EPI_ISL_498530		ACT Pathology	Schwessinger Lab	Ashley Jones et al
NewZealand/20VR1625/2020	EPI_ISL_456235	MZ331961.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR3157/2020	EPI_ISL_579447	MZ332440.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Uruguay/UY-10/2020	EPI_ISL_429257		Microbial Genomics Laboratory, Institut Pasteur Montevideo	Microbial Genomics Laboratory, Institut Pasteur Montevideo	Cecilia Salazar et al A (https://dx.doi.org/10.1101/2020.05.09.086223)
NewZealand/20VR1850/2020	EPI_ISL_579149	MZ332036.1	Southern Community Labs Dunedin	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20VR1076/2020	EPI_ISL_456187	MZ331910.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/NT38/2020	EPI_ISL_430496		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Meumann et al
NewZealand/20VR2066/2020	EPI_ISL_456357	MZ332176.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR3186/2020	EPI_ISL_579474	MZ332467.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/TAS120/2020	EPI_ISL_522586		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
Vietnam/VNHN_1863/2020	EPI_ISL_511897		National Hospital of Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Brazil/ES-FIOCRUZ-225/2020	EPI_ISL_415128		Laboratório Central de Saúde Pública do Estado do Espírito Santo (LACEN-ES)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B (https://dx.doi.org/10.1101/2020.06.17.158006)
Australia/QLD1179/2020	EPI_ISL_639770		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
England/200940527/2020	EPI_ISL_414005		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
NewZealand/20VR1283/2020	EPI_ISL_456208		LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Ireland/D-20G31545/2020	EPI_ISL_848112		National Virus Reference Laboratory	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway	Kate Reddington et al
England/20084031204/2020	EPI_ISL_464178		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PHE Covid Sequencing Team et al
Mongolia/3631/2020	EPI_ISL_1805651		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Ts et al
Kenya/D6/2020	EPI_ISL_458000	MT549878.1	Centre For Biotechnology Research and Development	Centre For Biotechnology Research and Development	Matoke-Muhia et al
Thailand/CU-SI2011343-NT/2020	EPI_ISL_1296450		Thai Red Cross Emerging Infectious Diseases Health Science Centre, Chulalongkorn Hospital, Faculty of Medicine, Chulalongkorn University	Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University	Opass Putcharoen et al
NewZealand/20VR0988/2020	EPI_ISL_456173		LabPLUS	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/ACT0071/2020	EPI_ISL_498531		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Australia/VIC12/2020	EPI_ISL_416518		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Aruba/AW-RIVM-10122/2020	EPI_ISL_547449		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-10101/2020	EPI_ISL_547445		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Nigeria/OS016-CV3/2020	EPI_ISL_455413		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
Australia/QLD1326/2020	EPI_ISL_849679		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/ACT0048/2020	EPI_ISL_498515		ACT Pathology	Schwessinger Lab	Ashley Jones et al
Nigeria/OG007-CV22/2020	EPI_ISL_455412		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)
Nigeria/LA-CV262/2020	EPI_ISL_729946		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al C
Australia/NT14/2020	EPI_ISL_426902		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Meumann et al
SouthKorea/A5/2020	EPI_ISL_485389		University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park et al
SouthKorea/A7/2020	EPI_ISL_485391		University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park et al
Jordan/SR-084/2020	EPI_ISL_434516	MT811566.1	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
SouthKorea/S4/2020	EPI_ISL_485395		University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park et al
SouthKorea/KCDC2038/2020	EPI_ISL_497959		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
Chile/RM-ISPCH-60/2020	EPI_ISL_445356		PONTIFICIA U. CATOLICA SERV. LABORATORIO	Instituto de Salud Publica de Chile	Andrés E Castillo et al
NewZealand/20VR2108/2020	EPI_ISL_456377	MZ332208.1	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR2109/2020	EPI_ISL_456378	MZ332209.1	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/NSW537/2020	EPI_ISL_455076		South Eastern Area Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
NewZealand/20VR1597/2020	EPI_ISL_456224	MZ331950.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/NSW260/2020	EPI_ISL_451525		Pathology West - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
NewZealand/20VR1950/2020	EPI_ISL_456320	MZ332097.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/SA0195/2020	EPI_ISL_483068		SA Pathology	SA Pathology	Lex Leong et al
Norway/1379/2020	EPI_ISL_417483		Oslo University Hospital, Department of Medical Microbiology	Norwegian Institute of Public Health	Kathrine Stene-Johansen et al
Australia/SA0444/2020	EPI_ISL_508135		SA Pathology	SA Pathology	Lex Leong et al
Jordan/SR-051/2020	EPI_ISL_430008	MT811559.1	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
NewZealand/20VR0901/2020	EPI_ISL_456169	MZ331891.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/NSW503/2020	EPI_ISL_455043		ACT Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Canada/QC-JUS-V5271531/2020	EPI_ISL_1241137		Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira et al
Qatar/QA-QU_02-2-29/2020	EPI_ISL_1712692		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
Qatar/QA-WCMQ_FD15506558/2020	EPI_ISL_1714006		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-QU_02-2-6/2020	EPI_ISL_1712704		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
Qatar/QA-WCMQ_FD18163166/2020	EPI_ISL_1714434		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-WCMQ_FD15506519/2020	EPI_ISL_1713967		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-WCMQ_FD18163119/2020	EPI_ISL_1714389		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
Qatar/QA-QU_02-2-5/2020	EPI_ISL_1712702		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
Australia/QLD1312/2020	EPI_ISL_849669		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
USA/WI-UW-43/2020	EPI_ISL_421301	MT706164.1	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al A (https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1)
Brazil/SP-02/2020	EPI_ISL_413016		Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory	Jaqueline Goes de Jesus et al (https://virological.org/t/first-cases-of-coronavirus-disease-covid-19-in-brazil-south-america-2-genomes-3rd-march-2020/409)
Australia/VIC268/2020	EPI_ISL_419961		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/ACT0024/2020	EPI_ISL_498491		ACT Pathology	Schwessinger Lab	Ashley Jones et al
NewZealand/20VR1900/2020	EPI_ISL_456301	MZ332063.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Jordan/SR-042/2020	EPI_ISL_430000	MT811552.1	Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
SriLanka/COV486/2020	EPI_ISL_428673	MT371050.1	Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara et al A (https://dx.doi.org/10.21203/rs.3.rs-44134/v1)
SouthAfrica/NHLS-UCT-GS-0051/2020	EPI_ISL_640054		Groote Schuur Hospital wc GSH	NHLS/UCT	Arash Iranzadeh et al
Australia/VIC120/2020	EPI_ISL_419722		Microbiological Diagnostic Unit Public Health Laboratory	Microbiological Diagnostic Unit Public Health Laboratory	Seemann T. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW2156/2020	EPI_ISL_500634		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
Canada/NL-NML-1399/2020	EPI_ISL_906776		Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer et al
NewZealand/20VR0770/2020	EPI_ISL_456168	MZ331890.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR0769/2020	EPI_ISL_579118	MZ331889.1	Waikato Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/TAS124/2020	EPI_ISL_522589		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
NewZealand/20VR1799/2020	EPI_ISL_456258	MZ331993.1	Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Australia/TAS71/2020	EPI_ISL_522742		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
NewZealand/20VR2575/2020	EPI_ISL_579306		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/TAS121/2020	EPI_ISL_522587		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
NewZealand/20VR1798/2020	EPI_ISL_456257	MZ331992.1	Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Uruguay/UY-NYUMC863/2020	EPI_ISL_457959		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uruguay/UY-NYUMC865/2020	EPI_ISL_457961		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Australia/WA34/2020	EPI_ISL_470851		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Australia/NT02/2020	EPI_ISL_419832		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Australia/WA11/2020	EPI_ISL_420456		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Malaysia/UNIMAS-C121/2020	EPI_ISL_718135		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
Indonesia/SB_9/2020	EPI_ISL_1447336		Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University	Andani Eka Putra et al
India/MP-DRDE759/2020	EPI_ISL_476848		Defence Research & Development Establishment (DRDE)	Defence Research & Development Establishment (DRDE)	Shashi Sharma et al
Singapore/103/2020	EPI_ISL_443195		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Philippines/PGC05/2020	EPI_ISL_434557		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
Philippines/PGC04/2020	EPI_ISL_434556		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
NewZealand/20CV0306/2020	EPI_ISL_622799		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
Australia/NSW70/2020	EPI_ISL_427757		Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Draper J et al (https://www.nature.com/articles/s41591-020-1000-7)
Philippines/PH-RITM-0020/2020	EPI_ISL_491474		Research Institute for Tropical Medicine	Research Institute for Tropical Medicine	Ma. Angelica Tujan et al
HongKong/CUHK-NC3317/2020	EPI_ISL_3066037		Department of Microbiology	Department of Microbiology	Zigui Chen et al
Thailand/Bangkok-CONI-0283/2020	EPI_ISL_693361		Ramathibodi Hospital	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B
Malaysia/5815/2020	EPI_ISL_501213		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
SaudiArabia/KAIMRC01/2020	EPI_ISL_507010	MT820461.1		Infectious Diseases Research, King Abdullah International Medical Research Center (KAIMRC)	Alghoribi et al
Brunei/3/2020	EPI_ISL_435675		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Brunei/2/2020	EPI_ISL_435674		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Pakistan/KP-RMI-01/2020	EPI_ISL_632908	MW242667.1	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali et al
India/AP-CS0965/2020	EPI_ISL_862479		Kurnool Medical College (KMC)	CSIR Institute of Genomics and Integrative Biology	Pallavali Roja Rani et al
Malaysia/2982/2020	EPI_ISL_506998		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Malaysia/6149/2020	EPI_ISL_501217		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Brunei/5/2020	EPI_ISL_435677		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Malaysia/MGI-MAEPS126/2020	EPI_ISL_568875		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Malaysia/MGI-M64/2020	EPI_ISL_528740		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
Brunei/4/2020	EPI_ISL_435676		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
Madagascar/VIRO-2722/2020	EPI_ISL_677635		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Madagascar/VIRO-2728/2020	EPI_ISL_677636		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
Timor-Leste/TL23/2020	EPI_ISL_456611	MT612293.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
Timor-Leste/TL07/2020	EPI_ISL_456606	MT612289.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al
Malaysia/7685/2020	EPI_ISL_506996		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Singapore/356/2020	EPI_ISL_469111		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Pakistan/JRCGR-KHI46/2020	EPI_ISL_779263	MW447617.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Shakeel et al
Singapore/653/2020	EPI_ISL_493413		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/731/2020	EPI_ISL_500552		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Singapore/783/2020	EPI_ISL_509393		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Singapore/710/2020	EPI_ISL_498608		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/700/2020	EPI_ISL_498598		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/779/2020	EPI_ISL_509389		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Singapore/1377/2020	EPI_ISL_648730		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
Singapore/1379/2020	EPI_ISL_648733		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
Singapore/642/2020	EPI_ISL_493402		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/652/2020	EPI_ISL_493412		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/1266/2020	EPI_ISL_648750		Department of Laboratory Medicine, Tan Tock Seng Hospital	Department of Laboratory Medicine, Tan Tock Seng Hospital	Chen YYC et al
Singapore/904/2020	EPI_ISL_536445		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/859/2020	EPI_ISL_527368		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/626/2020	EPI_ISL_490076		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Philippines/RITM-07/2020	EPI_ISL_430845		Pasig City General Hospital	Research Institute for Tropical Medicine	Medado et al
Zambia/ZMB-245/2020	EPI_ISL_977376		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
Philippines/PGC06/2020	EPI_ISL_434558		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
Malaysia/3998/2020	EPI_ISL_501210		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
