strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Shandong/2020C1240367/2020	EPI_ISL_962556		Infectious Disease Control and Prevention Institute	Infectious Disease Control and Prevention Institute	Xiaolin Jiang et al
Japan/PG-0382/2020	EPI_ISL_480051		Nagoya City Public Health Research Institute	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Belgium/GHB-03021/2020	EPI_ISL_407976		KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
Uruguay/UY-8M/2020	EPI_ISL_480345		Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Cecilia Salazar et al B
Bolivia/26958/2020	EPI_ISL_837576		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Spain/VC-IBV-98004585/2020	EPI_ISL_796121		Servicio de Microbiología. Hospital General Universitario de Castellón	SeqCOVID-SPAIN consortium/IBV(CSIC)	Rosario Moreno Muñoz et al
Austria/CeMM0355/2020	EPI_ISL_475812		Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al A
Chile/ML-ISPCH-1/2020	EPI_ISL_414577		Hospital de Talca, Chile	Instituto de Salud Publica de Chile	Andrés E. Castillo et al (https://dx.doi.org/10.1002/jmv.25797)
Mexico/CMX-InDRE_03/2020	EPI_ISL_424667		Laboratorio Estatal de Salud Publica del Estado de México	Instituto de Diagnóstico y Referencia Epidemiológicos	Irma López Martínez et al (https://dx.doi.org/10.1101/2020.05.27.120402)
Colombia/ANT-INS-80825/2020	EPI_ISL_456119		Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al A (https://dx.doi.org/10.1101/2020.06.02.20120782)
Scotland/EDB501/2020	EPI_ISL_426008		Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	COVID-19 Genomics UK (COG-UK) Consortium	McHugh M et al A (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
Mexico/CMX-INER-0014/2020	EPI_ISL_837616		Instituto Nacional de Enfermedades Respiratorias (INER)	Instituto Nacional de Enfermedades Respiratorias (INER)	Celia Boukadida et al
Uruguay/UY-6/2020	EPI_ISL_426481		Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay	Microbial Genomics Laboratory, Institut Pasteur Montevideo	Cecilia Salazar et al A (https://dx.doi.org/10.1101/2020.05.09.086223)
Uruguay/UY-NYUMC844/2020	EPI_ISL_457940		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uruguay/UY-NYUMC869/2020	EPI_ISL_457965		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uruguay/UY-NYUMC846/2020	EPI_ISL_457942		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uruguay/UY-9/2020	EPI_ISL_426584		Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay	Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay	Cecilia Salazar et al A (https://dx.doi.org/10.1101/2020.05.09.086223)
Uruguay/UY-NYUMC855/2020	EPI_ISL_457951		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uruguay/UY-NYUMC860/2020	EPI_ISL_457956		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
Uganda/UG027/2020	EPI_ISL_737951		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
Ghana/UHAS-G541/2020	EPI_ISL_648125		UHAS COVID-19 Lab	UHAS COVID-19 Lab	Kwabena O. Duedu et al
Australia/QLD03/2020	EPI_ISL_410717		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Australia/VIC07/2020	EPI_ISL_416415		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/QLD02/2020	EPI_ISL_407896		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al B
Australia/QLD1293/2020	EPI_ISL_693290		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Ghana/2828_S6/2020	EPI_ISL_422397		NMIMR, Department of Virology	WACCBIP, University of Ghana	Joyce M. Ngoi et al
Ghana/35563_S37/2020	EPI_ISL_515096	MT890230.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
NewZealand/20VR3131/2020	EPI_ISL_1250695		Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
Ghana/34928_S21/2020	EPI_ISL_515087	MT890229.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
Australia/QLD01/2020	EPI_ISL_407894		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al B
Singapore/466/2020	EPI_ISL_475997		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Togo/BMC-49989-20/2020	EPI_ISL_1437749		Institut National d'Hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
BurkinaFaso/2645/2020	EPI_ISL_660517		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Mali/M00959/2021	EPI_ISL_2683873		CICM, Bamako	Malaria Research and Training Center-Bamako	Antoine Dara et al
Coted-Ivoire/BKE1695-bc82/2021	EPI_ISL_1367698		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
Coted-Ivoire/COV-BKE1545/bc17/2021	EPI_ISL_1663659		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
Mali/CICM9799/2021	EPI_ISL_2683497		CICM, Bamako	Malaria Research and Training Center-Bamako	Antoine Dara et al
Mali/CICM9777/2021	EPI_ISL_2683495		CICM, Bamako	Malaria Research and Training Center-Bamako	Antoine Dara et al
Australia/QLD1466/2020	EPI_ISL_849730		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Australia/QLD1478/2020	EPI_ISL_849734		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
Angola/KRISP-K010858/2021	EPI_ISL_1545290		Instituto Nacional de Investigação em Saúde	KRISP, KZN Research Innovation and Sequencing Platform	Morais J et al
Australia/QLD1477/2020	EPI_ISL_849733		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
SaudiArabia/KAUST-Makkah18/2020	EPI_ISL_437467		Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sharif Hala et al
SierraLeone/KGH-G-8669/2020	EPI_ISL_512820	MT872498.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
SierraLeone/KGH-G-8626/2020	EPI_ISL_512817	MT872492.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
SierraLeone/KGH-G-8790/2020	EPI_ISL_512821	MT872501.1	Kenema Government Hospital, Ministry of Health and Sanitation	Kenema Government Hospital, Ministry of Health and Sanitation	Goba et al
Gabon/ITM-K011/2020	EPI_ISL_539573		Centre de Recherches Medicales de Lambarene (CERMEL)	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al
Bahrain/BAH-24/2020	EPI_ISL_483638		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al
Australia/NSW560/2020	EPI_ISL_455099		South Eastern Area Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Australia/NSW2314/2020	EPI_ISL_500706		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
HongKong/CUHK-NC9082/2020	EPI_ISL_3066304		Department of Microbiology	Department of Microbiology	Zigui Chen et al
Tunisia/5516/2021	EPI_ISL_1208399		Laboratoire de virologie clinique - Institut Pasteur de Tunis	1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Sameh Trabelsi et al
France/NAQ-HCL021039538301/2021	EPI_ISL_1290839		AXBIO	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
Tunisia/SP-0347/2021	EPI_ISL_2035946		Pasteur Institute - Laboratory of Clinical Virology	Pasteur Institute - Laboratory of Clinical Virology	Wasfi Fares et al
Togo/C5627/2021	EPI_ISL_1575444		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Senegal/SN-IR1-0014258/2020	EPI_ISL_1633466		Institute for Health Research, Epidemiological Surveillance and Training (IRESSEF)	Abbott	Souleymane Mboup et al
Tunisia/SP-0157/2021	EPI_ISL_2035942		Pasteur Institute - Laboratory of Clinical Virology	Pasteur Institute - Laboratory of Clinical Virology	Wasfi Fares et al
Tunisia/20216575/2021	EPI_ISL_1208160		Laboratoire de virologie clinique - Institut Pasteur de Tunis	1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Sameh Trabelsi et al
Togo/C5989/2021	EPI_ISL_1675141		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
BurkinaFaso/157/2021	EPI_ISL_2227200		Laboratoire d'analyse biomédicale du camp Ouezzin Coulibaly	Centre Muraz	Yacouba Sawadogo et al
Togo/C5221/2020	EPI_ISL_1575442		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
BurkinaFaso/7795/2021	EPI_ISL_2289121		Laboratoire de Microbiologie CHU Souro Sanou	Laboratoire bacteriologie virologie CHUSS	Yacouba Sawadogo et al
Coted-Ivoire/BKE-2024-bc41/2021	EPI_ISL_1365027		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
Togo/C7079/2021	EPI_ISL_1508949		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
BurkinaFaso/151/2021	EPI_ISL_2227198		Laboratoire d'analyse biomédicale du camp Ouezzin Coulibaly	Centre Muraz	Yacouba Sawadogo et al
Togo/C5622/2021	EPI_ISL_1575443		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Togo/C6271/2021	EPI_ISL_1810924		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Togo/C5960/2021	EPI_ISL_1586897		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Togo/C5930/2021	EPI_ISL_1508890		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Togo/C5903/2021	EPI_ISL_1508849		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Mali/UCRC-31/2020	EPI_ISL_812967	MW474741.1	University Clinical Research Center, University of Sciences	University Clinical Research Center, University of Sciences	Diarra et al
Coted-Ivoire/BKE0016/2020	EPI_ISL_614349		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
BurkinaFaso/2-009/2020	EPI_ISL_660450		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2-012/2020	EPI_ISL_660451		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Jordan/IR-ALSR-2578/2020	EPI_ISL_635777		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al
Indonesia/JK-NIHRD-WGS02538/2021	EPI_ISL_2382412		FarmaLab Indoutama (Wisma Atlet)	National Institute of Health Research and Development	Vivi Setiawaty et al
Oman/5211011/2021	EPI_ISL_2925613		Oman-NIC	Oman-National Influenza Center	Samiha Al Kharusi et al
Jordan/Biolab035/2021	EPI_ISL_1970833		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al
Jordan/AM-Biolab016/2021	EPI_ISL_1406239		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al
Bahrain/341509978/2021	EPI_ISL_2715288	MZ425478.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
Nigeria/BO-CV330/2020	EPI_ISL_729999		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
Niger/MI-36/2020	EPI_ISL_2835640		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
DRC/65/2020	EPI_ISL_961010		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al A
Ghana/2573_S27/2020	EPI_ISL_515082	MT890227.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
Nigeria/BO-CV345/2020	EPI_ISL_730010		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
Niger/73/2020	EPI_ISL_2835622		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
GuineaBissau/52LNSPGB/2020	EPI_ISL_2158598		Laboratório de Biologia Molecular Jean Piaget	MRCG at LSHTM, Genomics lab	Aladje Balde et al
Niger/1466/2020	EPI_ISL_2835623		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
Togo/BMC-166-20/2020	EPI_ISL_1442993		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Benin/1950/2020	EPI_ISL_476830	MT653079.1	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)
Togo/BMC-1011-20/2020	EPI_ISL_1415293		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Benin/2012/2020	EPI_ISL_476831	MT653080.1	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)
Ghana/84162_S45/2020	EPI_ISL_515103	MT890242.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
Ghana/84438_S50/2020	EPI_ISL_515111	MT890243.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
Togo/BMC-16660-20/2020	EPI_ISL_1433132		Institut National d'Hygiène	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Togo/BMC-16658-20/2020	EPI_ISL_1416222		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Togo/BMC-16649-20/2020	EPI_ISL_1416192		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
Niger/MI-73/2020	EPI_ISL_2835636		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
Niger/ZR-188/2020	EPI_ISL_2835635		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
Tunisia/MHT_2/2020	EPI_ISL_458286	MT559038.1		Bundeswehr Institute of Microbiology	Handrick et al
BurkinaFaso/LNRFHV_429/2020	EPI_ISL_2716621		aboratoire National de Référence pour les Fièvres Hémorragiques Virales, Centre Muraz	Centre Muraz	Arsène Zongo et al
Coted-Ivoire/BKE0355/2020	EPI_ISL_614373		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
BurkinaFaso/1689/2020	EPI_ISL_660448		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2701/2020	EPI_ISL_660461		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Coted-Ivoire/BKE0906/2020	EPI_ISL_614390		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0937/2020	EPI_ISL_614392		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/COV-BKE1155/bc73/2020	EPI_ISL_1663669		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0456-bc2/2020	EPI_ISL_1662579		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0356/2020	EPI_ISL_681833		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0382/2020	EPI_ISL_681835		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0732-bc16/2020	EPI_ISL_1662587		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0654-bc11/2020	EPI_ISL_1662583		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0405/2020	EPI_ISL_614375		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0430/2020	EPI_ISL_681836		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0310/2020	EPI_ISL_614371		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0349/2020	EPI_ISL_681832		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
BurkinaFaso/609/2020	EPI_ISL_660522		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/588/2020	EPI_ISL_660475		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/590/2020	EPI_ISL_660476		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Coted-Ivoire/BKE0425/2020	EPI_ISL_682059		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0880/2020	EPI_ISL_614387		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
BurkinaFaso/2-043-1764/2020	EPI_ISL_660499		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/B05-2032/2020	EPI_ISL_1299492		Centre Hospitalo Universitaire Souro Sanou	Centre Muraz	Arsène Zongo et al
BurkinaFaso/1174/2020	EPI_ISL_660478		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2-032-1197/2020	EPI_ISL_660479		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/3567/2020	EPI_ISL_660488		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/3952/2020	EPI_ISL_660489		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2163/2020	EPI_ISL_660512		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2439/2020	EPI_ISL_660483		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2366/2020	EPI_ISL_660482		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2375/2020	EPI_ISL_660524		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
BurkinaFaso/2473/2020	EPI_ISL_660486		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Australia/QLD04/2020	EPI_ISL_410718		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al B
Japan/PG-0209/2020	EPI_ISL_479909		Himeji City Institute of Environment and Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Togo/BMC-98-20/2020	EPI_ISL_1293351		Institut National d’Hygiène (INH)	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier)IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
Benin/843/2020	EPI_ISL_476829	MT653078.1	Laboratoire des Fièvres Hémorragiques Virales du Benin	Charité-Universitätsmedizin Berlin	Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)
Mali/M002618/2020	EPI_ISL_487449		CICM-Mali	Bundeswehr Institut of Microbiology	Kouriba et al
Coted-Ivoire/BKE0011/2020	EPI_ISL_614348		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Mali/M002659/2020	EPI_ISL_487451		CICM-Mali	Bundeswehr Institut of Microbiology	Kouriba et al
Niger/71/2020	EPI_ISL_2835637		Center for Medical and Sanitary Research (CERMES)	CDC Atlanta	Adamou Lagare et al
BurkinaFaso/583/2020	EPI_ISL_660474		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al
Coted-Ivoire/BKE0862/2020	EPI_ISL_614386		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
Coted-Ivoire/BKE0761/2020	EPI_ISL_681839		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
