Strain	WindowStart	WindowEnd	FractionIdentical
KY417144_Bat_SARS_like_CoV_Rs4084	21640	21739	0.55
KY417144_Bat_SARS_like_CoV_Rs4084	21670	21769	0.57
KY417144_Bat_SARS_like_CoV_Rs4084	21700	21799	0.4
KY417144_Bat_SARS_like_CoV_Rs4084	21730	21829	0.4
KY417144_Bat_SARS_like_CoV_Rs4084	21760	21859	0.47
KY417144_Bat_SARS_like_CoV_Rs4084	21791	21890	0.65
KY417144_Bat_SARS_like_CoV_Rs4084	21821	21920	0.69
KY417144_Bat_SARS_like_CoV_Rs4084	21851	21950	0.66
KY417144_Bat_SARS_like_CoV_Rs4084	21881	21980	0.62
KY417144_Bat_SARS_like_CoV_Rs4084	21911	22010	0.55
KY417144_Bat_SARS_like_CoV_Rs4084	21941	22040	0.45
KY417144_Bat_SARS_like_CoV_Rs4084	21971	22070	0.46
KY417144_Bat_SARS_like_CoV_Rs4084	22001	22100	0.5
KY417144_Bat_SARS_like_CoV_Rs4084	22031	22130	0.67
KY417144_Bat_SARS_like_CoV_Rs4084	22061	22160	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	22091	22190	0.68
KY417144_Bat_SARS_like_CoV_Rs4084	22121	22220	0.6
KY417144_Bat_SARS_like_CoV_Rs4084	22151	22250	0.53
KY417144_Bat_SARS_like_CoV_Rs4084	22181	22280	0.55
KY417144_Bat_SARS_like_CoV_Rs4084	22211	22310	0.49
KY417144_Bat_SARS_like_CoV_Rs4084	22241	22340	0.37
KY417144_Bat_SARS_like_CoV_Rs4084	22271	22370	0.4
KY417144_Bat_SARS_like_CoV_Rs4084	22301	22400	0.45
KY417144_Bat_SARS_like_CoV_Rs4084	22331	22430	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	22361	22460	0.66
KY417144_Bat_SARS_like_CoV_Rs4084	22391	22490	0.62
KY417144_Bat_SARS_like_CoV_Rs4084	22421	22520	0.64
KY417144_Bat_SARS_like_CoV_Rs4084	22451	22550	0.6
KY417144_Bat_SARS_like_CoV_Rs4084	22481	22580	0.72
KY417144_Bat_SARS_like_CoV_Rs4084	22511	22610	0.74
KY417144_Bat_SARS_like_CoV_Rs4084	22541	22640	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	22571	22670	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	22601	22700	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	22631	22730	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	22661	22760	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	22691	22790	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	22721	22820	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	22751	22850	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	22781	22880	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	22811	22910	0.69
KY417144_Bat_SARS_like_CoV_Rs4084	22841	22940	0.66
KY417144_Bat_SARS_like_CoV_Rs4084	22871	22970	0.66
KY417144_Bat_SARS_like_CoV_Rs4084	22901	23000	0.68
KY417144_Bat_SARS_like_CoV_Rs4084	22931	23030	0.59
KY417144_Bat_SARS_like_CoV_Rs4084	22961	23060	0.54
KY417144_Bat_SARS_like_CoV_Rs4084	22991	23090	0.6
KY417144_Bat_SARS_like_CoV_Rs4084	23021	23120	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	23051	23150	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	23081	23180	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	23111	23210	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	23141	23240	0.67
KY417144_Bat_SARS_like_CoV_Rs4084	23171	23270	0.69
KY417144_Bat_SARS_like_CoV_Rs4084	23201	23300	0.64
KY417144_Bat_SARS_like_CoV_Rs4084	23231	23330	0.67
KY417144_Bat_SARS_like_CoV_Rs4084	23261	23360	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	23291	23390	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	23321	23420	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	23351	23450	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	23381	23480	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	23411	23510	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	23441	23540	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	23471	23570	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	23501	23600	0.74
KY417144_Bat_SARS_like_CoV_Rs4084	23531	23630	0.55
KY417144_Bat_SARS_like_CoV_Rs4084	23561	23660	0.53
KY417144_Bat_SARS_like_CoV_Rs4084	23591	23690	0.57
KY417144_Bat_SARS_like_CoV_Rs4084	23621	23720	0.69
KY417144_Bat_SARS_like_CoV_Rs4084	23651	23750	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	23681	23780	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	23711	23810	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	23741	23840	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	23771	23870	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	23801	23900	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	23831	23930	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	23861	23960	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	23891	23990	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	23921	24020	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	23951	24050	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	23981	24080	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	24011	24110	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	24041	24140	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	24071	24170	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	24102	24201	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	24132	24231	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	24162	24261	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	24192	24291	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	24222	24321	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	24252	24351	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	24282	24381	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	24312	24411	0.74
KY417144_Bat_SARS_like_CoV_Rs4084	24342	24441	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	24372	24471	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	24402	24501	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	24432	24531	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	24462	24561	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	24492	24591	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	24522	24621	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	24552	24651	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	24582	24681	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	24612	24711	0.95
KY417144_Bat_SARS_like_CoV_Rs4084	24642	24741	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	24672	24771	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	24702	24801	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	24732	24831	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	24762	24861	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	24792	24891	0.78
KY417144_Bat_SARS_like_CoV_Rs4084	24822	24921	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	24852	24951	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	24882	24981	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	24912	25011	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	24942	25041	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	24972	25071	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	25002	25101	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	25032	25131	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	25062	25161	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	25092	25191	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	25122	25221	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	25152	25251	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	25182	25281	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	25212	25311	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	25242	25341	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	25272	25371	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	25302	25401	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	25332	25431	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	25362	25461	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	25392	25491	0.72
KY417144_Bat_SARS_like_CoV_Rs4084	25422	25521	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	25452	25551	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	25482	25581	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	25512	25611	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	25542	25641	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	25572	25671	0.72
KY417144_Bat_SARS_like_CoV_Rs4084	25602	25701	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	25632	25731	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	25662	25761	0.64
KY417144_Bat_SARS_like_CoV_Rs4084	25692	25791	0.64
KY417144_Bat_SARS_like_CoV_Rs4084	25722	25821	0.71
KY417144_Bat_SARS_like_CoV_Rs4084	25752	25851	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	25782	25881	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	25812	25911	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	25842	25941	0.67
KY417144_Bat_SARS_like_CoV_Rs4084	25872	25971	0.72
KY417144_Bat_SARS_like_CoV_Rs4084	25902	26001	0.71
KY417144_Bat_SARS_like_CoV_Rs4084	25932	26031	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	25962	26061	0.71
KY417144_Bat_SARS_like_CoV_Rs4084	25992	26091	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	26022	26121	0.71
KY417144_Bat_SARS_like_CoV_Rs4084	26052	26151	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	26082	26181	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	26112	26211	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26142	26241	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	26172	26271	0.93
KY417144_Bat_SARS_like_CoV_Rs4084	26202	26301	0.95
KY417144_Bat_SARS_like_CoV_Rs4084	26232	26331	0.98
KY417144_Bat_SARS_like_CoV_Rs4084	26262	26361	0.98
KY417144_Bat_SARS_like_CoV_Rs4084	26292	26391	0.99
KY417144_Bat_SARS_like_CoV_Rs4084	26322	26421	0.94
KY417144_Bat_SARS_like_CoV_Rs4084	26352	26451	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	26383	26482	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	26413	26512	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	26443	26542	0.77
KY417144_Bat_SARS_like_CoV_Rs4084	26473	26572	0.74
KY417144_Bat_SARS_like_CoV_Rs4084	26503	26602	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	26533	26632	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26563	26662	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26593	26692	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	26623	26722	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	26653	26752	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	26683	26782	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26713	26812	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	26743	26842	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	26773	26872	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	26803	26902	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26833	26932	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	26863	26962	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	26893	26992	0.76
KY417144_Bat_SARS_like_CoV_Rs4084	26923	27022	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	26953	27052	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	26983	27082	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	27013	27112	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	27043	27142	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	27073	27172	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	27103	27202	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	27133	27232	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	27163	27262	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	27193	27292	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	27223	27322	0.75
KY417144_Bat_SARS_like_CoV_Rs4084	27253	27352	0.73
KY417144_Bat_SARS_like_CoV_Rs4084	27283	27382	0.72
KY417144_Bat_SARS_like_CoV_Rs4084	27313	27412	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	27343	27442	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	27373	27472	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	27403	27502	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	27433	27532	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	27463	27562	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	27493	27592	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	27523	27622	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	27553	27652	0.81
KY417144_Bat_SARS_like_CoV_Rs4084	27583	27682	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	27613	27712	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	27643	27742	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	27673	27772	0.79
KY417144_Bat_SARS_like_CoV_Rs4084	27703	27802	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	27733	27832	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	27763	27862	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	27793	27892	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	27823	27922	0.74
KY417144_Bat_SARS_like_CoV_Rs4084	27853	27952	0.53
KY417144_Bat_SARS_like_CoV_Rs4084	27883	27982	0.48
KY417144_Bat_SARS_like_CoV_Rs4084	27913	28012	0.43
KY417144_Bat_SARS_like_CoV_Rs4084	27943	28042	0.47
KY417144_Bat_SARS_like_CoV_Rs4084	27973	28072	0.41
KY417144_Bat_SARS_like_CoV_Rs4084	28003	28102	0.31
KY417144_Bat_SARS_like_CoV_Rs4084	28033	28132	0.26
KY417144_Bat_SARS_like_CoV_Rs4084	28063	28162	0.33
KY417144_Bat_SARS_like_CoV_Rs4084	28093	28192	0.4
KY417144_Bat_SARS_like_CoV_Rs4084	28123	28222	0.46
KY417144_Bat_SARS_like_CoV_Rs4084	28153	28252	0.49
KY417144_Bat_SARS_like_CoV_Rs4084	28183	28282	0.61
KY417144_Bat_SARS_like_CoV_Rs4084	28213	28312	0.7
KY417144_Bat_SARS_like_CoV_Rs4084	28243	28342	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	28273	28372	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	28303	28402	0.82
KY417144_Bat_SARS_like_CoV_Rs4084	28333	28432	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	28363	28462	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	28393	28492	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	28423	28522	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	28453	28552	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	28483	28582	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	28513	28612	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	28543	28642	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	28573	28672	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	28603	28702	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	28633	28732	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	28664	28763	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	28694	28793	0.94
KY417144_Bat_SARS_like_CoV_Rs4084	28724	28823	0.95
KY417144_Bat_SARS_like_CoV_Rs4084	28754	28853	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	28784	28883	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	28814	28913	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	28844	28943	0.8
KY417144_Bat_SARS_like_CoV_Rs4084	28874	28973	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	28904	29003	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	28934	29033	0.94
KY417144_Bat_SARS_like_CoV_Rs4084	28964	29063	0.95
KY417144_Bat_SARS_like_CoV_Rs4084	28994	29093	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	29024	29123	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	29054	29153	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	29084	29183	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	29114	29213	0.89
KY417144_Bat_SARS_like_CoV_Rs4084	29144	29243	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	29174	29273	0.87
KY417144_Bat_SARS_like_CoV_Rs4084	29204	29303	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	29234	29333	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	29264	29363	0.84
KY417144_Bat_SARS_like_CoV_Rs4084	29294	29393	0.92
KY417144_Bat_SARS_like_CoV_Rs4084	29324	29423	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	29354	29453	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	29384	29483	0.86
KY417144_Bat_SARS_like_CoV_Rs4084	29414	29513	0.83
KY417144_Bat_SARS_like_CoV_Rs4084	29444	29543	0.85
KY417144_Bat_SARS_like_CoV_Rs4084	29474	29573	0.88
KY417144_Bat_SARS_like_CoV_Rs4084	29504	29603	0.9
KY417144_Bat_SARS_like_CoV_Rs4084	29534	29633	0.93
KY417144_Bat_SARS_like_CoV_Rs4084	29564	29663	0.91
KY417144_Bat_SARS_like_CoV_Rs4084	29594	29693	0.93
KY417144_Bat_SARS_like_CoV_Rs4084	29624	29723	0.94
KY417144_Bat_SARS_like_CoV_Rs4084	29654	29753	0.99
KY417144_Bat_SARS_like_CoV_Rs4084	29684	29783	0.97
KY417144_Bat_SARS_like_CoV_Rs4084	29714	29813	0.98
KY417144_Bat_SARS_like_CoV_Rs4084	29744	29843	0.97
KY417144_Bat_SARS_like_CoV_Rs4084	29774	29873	0.99
KY417144_Bat_SARS_like_CoV_Rs4084	29804	29903	0.82
KF367457_Bat_SARS_like_CoV_WIV1	1	100	0.86
KF367457_Bat_SARS_like_CoV_WIV1	31	130	0.91
KF367457_Bat_SARS_like_CoV_WIV1	61	160	0.9
KF367457_Bat_SARS_like_CoV_WIV1	91	190	0.87
KF367457_Bat_SARS_like_CoV_WIV1	121	220	0.89
KF367457_Bat_SARS_like_CoV_WIV1	151	250	0.92
KF367457_Bat_SARS_like_CoV_WIV1	181	280	0.95
KF367457_Bat_SARS_like_CoV_WIV1	211	310	0.94
KF367457_Bat_SARS_like_CoV_WIV1	241	340	0.93
KF367457_Bat_SARS_like_CoV_WIV1	271	370	0.88
KF367457_Bat_SARS_like_CoV_WIV1	301	400	0.85
KF367457_Bat_SARS_like_CoV_WIV1	331	430	0.84
KF367457_Bat_SARS_like_CoV_WIV1	361	460	0.83
KF367457_Bat_SARS_like_CoV_WIV1	391	490	0.87
KF367457_Bat_SARS_like_CoV_WIV1	421	520	0.73
KF367457_Bat_SARS_like_CoV_WIV1	451	550	0.74
KF367457_Bat_SARS_like_CoV_WIV1	481	580	0.7
KF367457_Bat_SARS_like_CoV_WIV1	511	610	0.75
KF367457_Bat_SARS_like_CoV_WIV1	541	640	0.81
KF367457_Bat_SARS_like_CoV_WIV1	571	670	0.83
KF367457_Bat_SARS_like_CoV_WIV1	601	700	0.85
KF367457_Bat_SARS_like_CoV_WIV1	631	730	0.87
KF367457_Bat_SARS_like_CoV_WIV1	661	760	0.85
KF367457_Bat_SARS_like_CoV_WIV1	691	790	0.83
KF367457_Bat_SARS_like_CoV_WIV1	721	820	0.82
KF367457_Bat_SARS_like_CoV_WIV1	751	850	0.85
KF367457_Bat_SARS_like_CoV_WIV1	781	880	0.86
KF367457_Bat_SARS_like_CoV_WIV1	811	910	0.81
KF367457_Bat_SARS_like_CoV_WIV1	841	940	0.73
KF367457_Bat_SARS_like_CoV_WIV1	871	970	0.73
KF367457_Bat_SARS_like_CoV_WIV1	901	1000	0.8
KF367457_Bat_SARS_like_CoV_WIV1	931	1030	0.81
KF367457_Bat_SARS_like_CoV_WIV1	961	1060	0.82
KF367457_Bat_SARS_like_CoV_WIV1	991	1090	0.82
KF367457_Bat_SARS_like_CoV_WIV1	1021	1120	0.79
KF367457_Bat_SARS_like_CoV_WIV1	1051	1150	0.8
KF367457_Bat_SARS_like_CoV_WIV1	1081	1180	0.73
KF367457_Bat_SARS_like_CoV_WIV1	1111	1210	0.73
KF367457_Bat_SARS_like_CoV_WIV1	1141	1240	0.69
KF367457_Bat_SARS_like_CoV_WIV1	1172	1271	0.74
KF367457_Bat_SARS_like_CoV_WIV1	1202	1301	0.78
KF367457_Bat_SARS_like_CoV_WIV1	1232	1331	0.78
KF367457_Bat_SARS_like_CoV_WIV1	1262	1361	0.75
KF367457_Bat_SARS_like_CoV_WIV1	1292	1391	0.68
KF367457_Bat_SARS_like_CoV_WIV1	1322	1421	0.71
KF367457_Bat_SARS_like_CoV_WIV1	1352	1451	0.67
KF367457_Bat_SARS_like_CoV_WIV1	1382	1481	0.62
KF367457_Bat_SARS_like_CoV_WIV1	1412	1511	0.65
KF367457_Bat_SARS_like_CoV_WIV1	1442	1541	0.72
KF367457_Bat_SARS_like_CoV_WIV1	1472	1571	0.77
KF367457_Bat_SARS_like_CoV_WIV1	1502	1601	0.67
KF367457_Bat_SARS_like_CoV_WIV1	1532	1631	0.62
KF367457_Bat_SARS_like_CoV_WIV1	1562	1661	0.56
KF367457_Bat_SARS_like_CoV_WIV1	1592	1691	0.62
KF367457_Bat_SARS_like_CoV_WIV1	1622	1721	0.75
KF367457_Bat_SARS_like_CoV_WIV1	1652	1751	0.79
KF367457_Bat_SARS_like_CoV_WIV1	1682	1781	0.77
KF367457_Bat_SARS_like_CoV_WIV1	1712	1811	0.72
KF367457_Bat_SARS_like_CoV_WIV1	1742	1841	0.74
KF367457_Bat_SARS_like_CoV_WIV1	1772	1871	0.72
KF367457_Bat_SARS_like_CoV_WIV1	1802	1901	0.7
KF367457_Bat_SARS_like_CoV_WIV1	1832	1931	0.69
KF367457_Bat_SARS_like_CoV_WIV1	1862	1961	0.66
KF367457_Bat_SARS_like_CoV_WIV1	1892	1991	0.66
KF367457_Bat_SARS_like_CoV_WIV1	1922	2021	0.6
KF367457_Bat_SARS_like_CoV_WIV1	1952	2051	0.61
KF367457_Bat_SARS_like_CoV_WIV1	1982	2081	0.61
KF367457_Bat_SARS_like_CoV_WIV1	2012	2111	0.64
KF367457_Bat_SARS_like_CoV_WIV1	2042	2141	0.69
KF367457_Bat_SARS_like_CoV_WIV1	2072	2171	0.72
KF367457_Bat_SARS_like_CoV_WIV1	2102	2201	0.67
KF367457_Bat_SARS_like_CoV_WIV1	2132	2231	0.69
KF367457_Bat_SARS_like_CoV_WIV1	2162	2261	0.64
KF367457_Bat_SARS_like_CoV_WIV1	2192	2291	0.59
KF367457_Bat_SARS_like_CoV_WIV1	2222	2321	0.54
KF367457_Bat_SARS_like_CoV_WIV1	2252	2351	0.54
KF367457_Bat_SARS_like_CoV_WIV1	2282	2381	0.56
KF367457_Bat_SARS_like_CoV_WIV1	2312	2411	0.58
KF367457_Bat_SARS_like_CoV_WIV1	2342	2441	0.58
KF367457_Bat_SARS_like_CoV_WIV1	2372	2471	0.6
KF367457_Bat_SARS_like_CoV_WIV1	2402	2501	0.61
KF367457_Bat_SARS_like_CoV_WIV1	2432	2531	0.62
KF367457_Bat_SARS_like_CoV_WIV1	2462	2561	0.63
KF367457_Bat_SARS_like_CoV_WIV1	2492	2591	0.52
KF367457_Bat_SARS_like_CoV_WIV1	2522	2621	0.56
KF367457_Bat_SARS_like_CoV_WIV1	2552	2651	0.56
KF367457_Bat_SARS_like_CoV_WIV1	2582	2681	0.62
KF367457_Bat_SARS_like_CoV_WIV1	2612	2711	0.66
KF367457_Bat_SARS_like_CoV_WIV1	2642	2741	0.71
KF367457_Bat_SARS_like_CoV_WIV1	2672	2771	0.72
KF367457_Bat_SARS_like_CoV_WIV1	2702	2801	0.78
KF367457_Bat_SARS_like_CoV_WIV1	2732	2831	0.8
KF367457_Bat_SARS_like_CoV_WIV1	2762	2861	0.83
KF367457_Bat_SARS_like_CoV_WIV1	2792	2891	0.82
KF367457_Bat_SARS_like_CoV_WIV1	2822	2921	0.82
KF367457_Bat_SARS_like_CoV_WIV1	2852	2951	0.76
KF367457_Bat_SARS_like_CoV_WIV1	2882	2981	0.78
KF367457_Bat_SARS_like_CoV_WIV1	2912	3011	0.75
KF367457_Bat_SARS_like_CoV_WIV1	2942	3041	0.77
KF367457_Bat_SARS_like_CoV_WIV1	2972	3071	0.73
KF367457_Bat_SARS_like_CoV_WIV1	3002	3101	0.66
KF367457_Bat_SARS_like_CoV_WIV1	3032	3131	0.68
KF367457_Bat_SARS_like_CoV_WIV1	3062	3161	0.67
KF367457_Bat_SARS_like_CoV_WIV1	3092	3191	0.61
KF367457_Bat_SARS_like_CoV_WIV1	3122	3221	0.64
KF367457_Bat_SARS_like_CoV_WIV1	3152	3251	0.41
KF367457_Bat_SARS_like_CoV_WIV1	3182	3281	0.29
KF367457_Bat_SARS_like_CoV_WIV1	3212	3311	0.15
KF367457_Bat_SARS_like_CoV_WIV1	3242	3341	0.2
KF367457_Bat_SARS_like_CoV_WIV1	3272	3371	0.45
KF367457_Bat_SARS_like_CoV_WIV1	3302	3401	0.64
KF367457_Bat_SARS_like_CoV_WIV1	3332	3431	0.69
KF367457_Bat_SARS_like_CoV_WIV1	3362	3461	0.7
KF367457_Bat_SARS_like_CoV_WIV1	3392	3491	0.69
KF367457_Bat_SARS_like_CoV_WIV1	3422	3521	0.72
KF367457_Bat_SARS_like_CoV_WIV1	3453	3552	0.69
KF367457_Bat_SARS_like_CoV_WIV1	3483	3582	0.61
KF367457_Bat_SARS_like_CoV_WIV1	3513	3612	0.64
KF367457_Bat_SARS_like_CoV_WIV1	3543	3642	0.67
KF367457_Bat_SARS_like_CoV_WIV1	3573	3672	0.72
KF367457_Bat_SARS_like_CoV_WIV1	3603	3702	0.74
KF367457_Bat_SARS_like_CoV_WIV1	3633	3732	0.77
KF367457_Bat_SARS_like_CoV_WIV1	3663	3762	0.74
KF367457_Bat_SARS_like_CoV_WIV1	3693	3792	0.73
KF367457_Bat_SARS_like_CoV_WIV1	3723	3822	0.68
KF367457_Bat_SARS_like_CoV_WIV1	3753	3852	0.56
KF367457_Bat_SARS_like_CoV_WIV1	3783	3882	0.47
KF367457_Bat_SARS_like_CoV_WIV1	3813	3912	0.38
KF367457_Bat_SARS_like_CoV_WIV1	3843	3942	0.36
KF367457_Bat_SARS_like_CoV_WIV1	3873	3972	0.44
KF367457_Bat_SARS_like_CoV_WIV1	3903	4002	0.58
