strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Bonaire/BQ-RIVM-21016/2021	EPI_ISL_1457749		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-10754/2021	EPI_ISL_1059912		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
DominicanRepublic/21877/2021	EPI_ISL_2273999		Laboratorio Nacional de Salud Pública Dr. Defilló - LNSPDD	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
DominicanRepublic/21919/2021	EPI_ISL_2274022		Laboratorio Nacional de Salud Pública Dr. Defilló - LNSPDD	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Bolivia/21727/2021	EPI_ISL_2274033		Centro Nacional de Enfermidades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al B
Mexico/CMX-INMEGEN-05-01-193/2021	EPI_ISL_2178748		Instituto Nacional de Medicina Genomica	Instituto Nacional de Medicina Genomica	Hidalgo-Miranda A et al
Austria/CeMM11100/2021	EPI_ISL_2617656		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
Colombia/LAG-INS-VG-1400/2021	EPI_ISL_1582979		E.S.E. HOSPITAL SAN JOSE DE MAICAO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/MAG-INS-VG-1588/2021	EPI_ISL_1820926		UNIVERSIDAD DE Magdalena	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/ATL-INS-VG-1626/2021	EPI_ISL_1820932		LDSP BARRANQUILLA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/DC-INS-VG-1525/2021	EPI_ISL_1820928		ANALIZAR LABORATORIO CLINICO AUTOMATIZADO - SYNLAB	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/BOY-INS-VG-2887/2021	EPI_ISL_2674322		CARVAJAL LABORATORIOS	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/VAC-INS-VG-3535/2021	EPI_ISL_2657872		LABORATORIO CLINICA IMBANACO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Curacao/CW-RIVM-35049/2021	EPI_ISL_2405505		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-35060/2021	EPI_ISL_2405516		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Colombia/LAG-INS-VG-1399/2021	EPI_ISL_1582978		E.S.E. HOSPITAL SAN JOSE DE MAICAO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/MAG-INS-VG-1644/2021	EPI_ISL_1582993		Universidad del Atlántico Laboratorio de Investigación en Biología Molecular	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/ANT-CWOHC-VG-SEC00762H/2021	EPI_ISL_2621845		LABORATORIO ECHAVARRIA	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Curacao/CW-RIVM-30491/2021	EPI_ISL_2094367		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Colombia/CAS-INS-VG-2930/2021	EPI_ISL_2674348		HOSPITAL REGIONAL DE LA ORINOQUIA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/TOL-INS-VG-2868/2021	EPI_ISL_2674317		LDSP TOLIMA	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/ATL-INS-VG-1954/2021	EPI_ISL_1821064		LABORATORIO CLINICO SYNLAB	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/LAG-INS-VG-1401/2021	EPI_ISL_1582980		E.S.E. HOSPITAL SAN JOSE DE MAICAO	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/ANT-CWOHC-VG-SEC00431O/2021	EPI_ISL_2321609		UNIGEM	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Maria Stella López et al
Colombia/ANT-CWOHC-VG-SEC00586N/2021	EPI_ISL_2438045		Somer	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Ecuador/NIC-INSPI-317741/2021	EPI_ISL_2458116		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
Aruba/AW-RIVM-32149/2021	EPI_ISL_2220458		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-40501/2021	EPI_ISL_2673226		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Colombia/DC-INS-VG-1512/2021	EPI_ISL_1820934		LABORATORIO DE INVESTIGACION HORMONAL	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Colombia/ANT-CWOHC-VG-SEC00701Y/2021	EPI_ISL_2621162		ICMT-APARTADO	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Curacao/CW-RIVM-33287/2021	EPI_ISL_2303943		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Curacao/CW-RIVM-35036/2021	EPI_ISL_2405492		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Colombia/ANT-CWOHC-VG-SEC00781A/2021	EPI_ISL_2621850		LABORATORIO ECHAVARRIA	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Colombia/ANT-CWOHC-VG-SEC00770P/2021	EPI_ISL_2621865		LABORATORIO ECHAVARRIA	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
Colombia/SAP-INS-VG-2987/2021	EPI_ISL_2674361		Laboratorio de Salud Publica San Andrés Islas	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública	Katherine Laiton-Donato et al B
Bonaire/BQ-RIVM-35139/2021	EPI_ISL_2405596		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Bonaire/BQ-RIVM-35094/2021	EPI_ISL_2405550		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
USA/OH-ODH-SC039385/2020	EPI_ISL_2367564		Ohio Department of Health Laboratory	Ohio Department of Health Laboratory	Holmes et al
USA/PR-CDC-2-4356641/2021	EPI_ISL_2229160	MZ278361.1	PR Public Health Lab	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
Suriname/SR-216/2021	EPI_ISL_2502518		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
USA/MA-CDCBI-CRSP_IID27UK6KPSQ3BFK/2021	EPI_ISL_2104042	MZ207487.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
USA/MA-CDC-QDX24155580/2021	EPI_ISL_2011218	MZ161536.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/WI-UW-3828/2021	EPI_ISL_1253291		University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno et al B
USA/WV-CDC-LC0049060/2021	EPI_ISL_1802485	MZ073105.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
DominicanRepublic/Yale-5416/2021	EPI_ISL_2501720		IMTSAG	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al B
USA/OH-CDC-QDX24087779/2021	EPI_ISL_1924817	MZ131835.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/NM-UNM-TC240611/2021	EPI_ISL_2454317		TriCore Reference Laboratories	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
USA/CT-Yale-3559/2021	EPI_ISL_1674675		Yale Clinical Virology Lab	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al B
USA/ND-CDC-IBX225536102197/2021	EPI_ISL_1795755	MZ055154.1	Infinity Biologix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/DE-CDC-LC0046766/2021	EPI_ISL_1800616	MZ071276.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/FL-CDC-QDX24155162/2021	EPI_ISL_2011638	MZ161664.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/PA-CDC-LC0058165/2021	EPI_ISL_2184372	MZ253474.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/VT-CDC-2-4282704/2021	EPI_ISL_1937806	MZ143884.1	VT Dept. of Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al
USA/VT-CDCBI-CRSP_VPTDIWS2OATWQYOC/2021	EPI_ISL_2104397	MZ207842.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
USA/RI-CDC-ASC210067574/2021	EPI_ISL_1998771	MZ213889.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/MA-CDCBI-CRSP_LM7F5UYBP62XV3MI/2021	EPI_ISL_1744032	MZ032583.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
USA/NH-CDC-QDX24981044/2021	EPI_ISL_2372041	MZ321350.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
Ecuador/USFQ-1179/2021	EPI_ISL_2086708		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al
USA/IN-CDC-ASC210025227/2021	EPI_ISL_1687077	MZ023508.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
DominicanRepublic/Yale-5441/2021	EPI_ISL_2776158		Instituto de Medicina Tropical & Salud Global (IMTSAG)	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al B
USA/RI-CDCBI-CRSP_FGZLK3ZBPPELWCTF/2021	EPI_ISL_2096727	MZ195133.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
Mexico/GUA-InDRE_FB16210_S2580/2021	EPI_ISL_2492478		LESP Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
USA/DE-DHSS-B1075834/2021	EPI_ISL_1908900		DPHL	Delaware Public Health Lab	Rebecca Savage et al
USA/NH-CDCBI-CRSP_62AFX35EQXKADMWV/2021	EPI_ISL_2096687	MZ195092.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
Aruba/AW-RIVM-16789/2021	EPI_ISL_1289228		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
USA/PR-CDC-S199/2021	EPI_ISL_1620603		Puerto Rico Department of Health	Centers for Disease Control and Prevention, Dengue Branch	Gilberto A. Santiago et al
USA/NM-NMDOH-2021083529/2021	EPI_ISL_1970860	MZ190201.1	Curative	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
Ecuador/UEES-12140/2021	EPI_ISL_1443680		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
Ecuador/USFQ-1242/2021	EPI_ISL_2004115		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
Australia/QLD1614/2021	EPI_ISL_1098644		Public Health Virology-Forensic and Scientific Services	Public Health Virology-Forensic and Scientific Services	Son Nguyen et al
Aruba/AW-RIVM-16747/2021	EPI_ISL_1289226		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-33465/2021	EPI_ISL_2303926		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-32982/2021	EPI_ISL_2220523		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-33467/2021	EPI_ISL_2303927		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-40530/2021	EPI_ISL_2673255		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-33003/2021	EPI_ISL_2220529		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-33478/2021	EPI_ISL_2303929		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Canada/MB-NML-70513/2021	EPI_ISL_2495680		MB-Cadham Provincial laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
Ecuador/UEES-11645/2021	EPI_ISL_1381304		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
Ecuador/NIC-INSPI-317083/2021	EPI_ISL_2488716		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
Ecuador/USFQ-1080/2021	EPI_ISL_2086713		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
Ecuador/UEES-HLV-15AP/2021	EPI_ISL_1968655		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
Ecuador/NIC-INSPI-316259/2021	EPI_ISL_2488718		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
Ecuador/NIC-INSPI-317434/2021	EPI_ISL_2348764		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
Ecuador/USFQ-1056/2021	EPI_ISL_2086716		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
Ecuador/USFQ-1202/2021	EPI_ISL_2004104		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
Ecuador/NIC-INSPI-315001/2021	EPI_ISL_2488735		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
Ecuador/NIC-INSPI-317348/2021	EPI_ISL_2348748		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
Ecuador/NIC-INSPI-317349/2021	EPI_ISL_2348749		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
Chile/RM-73078/2021	EPI_ISL_2009201		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Javier Tognarelli et al
Ecuador/UEES-12150/2021	EPI_ISL_1381305		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
Ecuador/UEES-11984/2021	EPI_ISL_1443676		Omics Sciences Laboratory	Omics Sciences Laboratory	Derly Andrade Molina et al
USA/VA-DCLS-1124/2020	EPI_ISL_529921	MT992736.1	Virginia Division of Consolidated Laboratory Services	Virginia Division of Consolidated Laboratory Services	Virginia DCLS et al
USA/NM-DOH-2020315508/2020	EPI_ISL_574289	MW075806.1	New Mexico Department of Health Scientific Laboratory	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
Mexico/BCN-SEARCH-8276/2021	EPI_ISL_1468835		Sharp HealthCare Laboratory	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Aaron Harding et al
Mexico/BCN-SEARCH-8215/2021	EPI_ISL_1468919		Sharp HealthCare Laboratory	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Aaron Harding et al
Guatemala/GUA-LNS-3619/2021	EPI_ISL_2826932		Laboratorio Nacional de Salud	Laboratorio Nacional de Salud	Linda Mendoza et al
Mexico/BCN-SEARCH-103042/2020	EPI_ISL_2835499		Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)	Andersen lab at Scripps Research	SEARCH Alliance with Gisela Barrera Badillo et al
Mexico/BCN-ALSR-6639/2020	EPI_ISL_1081475		Genomica Lab Molecular, M√©xico	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Jonathan Gonzalez Garcia et al
Mexico/COA_LANGEBIO_IMSS_0514/2021	EPI_ISL_2401941		Centro de Investigación Biomédica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
Mexico/TAM_LANGEBIO_IMSS_0018/2021	EPI_ISL_1351451		Centro de InvestigaciÃ³n BiomÃ©dica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
Mexico/SEARCH-100623/2021	EPI_ISL_2231517		Centro de Diagnostico COVID-19 UABC Tijuana	Andersen lab at Scripps Research	SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al
USA/IA-GMF-54488/2021	EPI_ISL_1113223		Gundersen Molecular Diagnostics Laboratory	Kabara Cancer Research Institute	Craig S. Richmond et al B
Mexico/CAM-InDRE_FB14297_S1826/2021	EPI_ISL_2139921		LESP Campeche	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
Mexico/BCS-InDRE_F10702_S592/2021	EPI_ISL_1337371		LESP Baja California Sur	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
USA/HI-CDC-LC0003655/2021	EPI_ISL_886385		Labcorp	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
Australia/NSW-R0014/2021	EPI_ISL_1010699		New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al
Mexico/COL-InDRE_FB15038_S2129/2021	EPI_ISL_2296100		LESP Colima	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
Mexico/GUA-InDRE_FB13863_S2130/2021	EPI_ISL_2296101		LESP Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
Argentina/INEI100835/2021	EPI_ISL_2104818		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al A
USA/NJ-S37-ILLM/2021	EPI_ISL_1312783		Molecular & Genomic Pathology Laboratory, Thomas Jefferson University Hospital	Molecular & Genomic Pathology Laboratory, Thomas Jefferson University Hospital	Run Jin et al
USA/AL-HGSC-JHJF/2021	EPI_ISL_979473	MW947514.1	Eurofins Diatherix	Hudsonalpha Genome Sequencing Center	Jane Grimwood et al
Aruba/AW-RIVM-17557/2021	EPI_ISL_1371216		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-25518/2021	EPI_ISL_1704991		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
Aruba/AW-RIVM-20100/2021	EPI_ISL_1457556		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
USA/TX-CDC-LC0011570/2021	EPI_ISL_1037138	MW644114.1	Laboratory Corporation of America	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
NorthernMarianaIslands/CDC-2-3880447/2021	EPI_ISL_1169549		Commonwealth Healthcare Center	Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al B
Guam/GU-CDC-2-3906093/2021	EPI_ISL_1273067	MW766886.1	Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Krista Queen et al B
Mexico/MIC_INER_IMSS_00828/2021	EPI_ISL_2091279		Centro de Investigación Biomédica de Occidente (CIBO)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
Taiwan/CGMH-CGU-50/2021	EPI_ISL_956331		Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al B
Cambodia/VIR2107864/2021	EPI_ISL_1096139		Cambodian National Public Health Laboratory, National Institute of Public Health	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
Cambodia/VIR2107865/2021	EPI_ISL_1096140		Cambodian National Public Health Laboratory, National Institute of Public Health	Virology Unit, Institut Pasteur du Cambodge	Sokhoun Yann et al
Australia/QLD1479/2020	EPI_ISL_849735		Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
NewZealand/20CV0676/2020	EPI_ISL_755623		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
NewZealand/20CV0724/2020	EPI_ISL_755638		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
USA/SD-SDPHL-0161/2021	EPI_ISL_1401089	MW873957.1	South Dakota Public Health Laboratory	South Dakota Public Health Laboratory	Jacob Garfin et al
Australia/NSW1489/2021	EPI_ISL_872582		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
Australia/NSW1495/2021	EPI_ISL_872588		Sydney South West Pathology Service (SSWPS) - Royal Prince Alfred Hospital - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
NewZealand/20CV0636/2020	EPI_ISL_707800		LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
CostaRica/INC-0631/2021	EPI_ISL_2502729		HOSPITAL LA ANEXION	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
USA/CA-CDC-FG-005476/2021	EPI_ISL_1458481	MW859121.1	Fulgent Genetics	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
USA/NE-CDC-QDX22551423/2021	EPI_ISL_1267490	MW764091.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Peter W. Cook et al
Australia/NSW-R0024/2021	EPI_ISL_1010708		New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al
USA/WA-S8507/2021	EPI_ISL_2714923	MZ461019.1	Incyte Diagnostics Spokane	Seattle Flu Study	Deborah A. Nickerson et al
USA/HI-H211324/2021	EPI_ISL_1292738		State Laboratories Division, Hawaii State Department of Health	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al
USA/CA-CDC-QDX21497122/2021	EPI_ISL_1086745	MW667007.1	Quest Diagnostics Incorporated	Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Peter W. Cook et al
Guam/GU-CDC-2-3906075/2021	EPI_ISL_1273062	MW766881.1	Guam Public Health Laboratory	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Krista Queen et al B
Aruba/AW-RIVM-11401/2021	EPI_ISL_1014656		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
